t,hour,acc,acc_true,T_deck,T_air,wind,turbulence,traffic_rate,exc_rms,damage,regime,f1,f2,a1,a2,a3,a4
1.4,0.04666667,0.0004325071,0.0005747915,6.10668,6.129868,2.552261,0.1102167,50.05837,0.001006966,0,0,2.023368,6.046734,0.9730509,-0.9177659,0.8681372,-0.9093227
1.45,0.04833333,0.002677547,0.001676621,6.1067,6.130019,2.561195,0.1095027,50.0585,0.001008772,0,0,2.023367,6.046733,0.9730511,-0.9177661,0.8681374,-0.9093227
1.5,0.05,0.0008906551,0.0002517654,6.106719,6.13017,2.57013,0.1087887,50.05864,0.001014099,0,0,2.023367,6.046733,0.9730513,-0.9177663,0.8681376,-0.9093227
1.55,0.05166667,-0.001605303,-0.001087333,6.106706,6.12628,2.567079,0.1073267,50.05879,0.001026212,0,0,2.023367,6.046733,0.9730512,-0.9177661,0.8681375,-0.9093227
1.6,0.05333333,-0.0009692537,-0.001094374,6.106694,6.12239,2.564028,0.1058647,50.05893,0.001035008,0,0,2.023368,6.046733,0.9730511,-0.917766,0.8681373,-0.9093227
1.65,0.055,-0.002829597,-0.00272587,6.106681,6.118499,2.560977,0.1044027,50.05907,0.001042912,0,0,2.023368,6.046734,0.9730509,-0.9177659,0.8681372,-0.9093227
1.7,0.05666667,-0.001750303,-0.001334913,6.106668,6.114609,2.557926,0.1029407,50.05921,0.001045951,0,0,2.023368,6.046734,0.9730508,-0.9177658,0.8681371,-0.9093227
1.75,0.05833333,0.002022227,0.001705567,6.106655,6.110718,2.554875,0.1014787,50.05936,0.001050657,0,0,2.023368,6.046734,0.9730507,-0.9177656,0.868137,-0.9093227
1.8,0.06,0.002202189,0.001676415,6.106642,6.106828,2.551823,0.1000167,50.0595,0.00106178,0,0,2.023368,6.046734,0.9730506,-0.9177655,0.8681369,-0.9093227
1.85,0.06166667,0.00209238,0.001430129,6.106629,6.102937,2.548772,0.0985547,50.05964,0.001065262,0,0,2.023368,6.046734,0.9730505,-0.9177654,0.8681368,-0.9093227
1.9,0.06333333,-0.0005046185,0.0006495824,6.106617,6.099047,2.545721,0.0970927,50.05978,0.001082237,0,0,2.023368,6.046734,0.9730504,-0.9177653,0.8681366,-0.9093226
1.95,0.065,0.0002341292,0.0001127785,6.106604,6.095157,2.54267,0.0956307,50.05992,0.001087357,0,0,2.023368,6.046735,0.9730502,-0.9177651,0.8681365,-0.9093226
2,0.06666667,0.0001363492,-0.000222367,6.106591,6.091266,2.539619,0.0941687,50.06007,0.001095933,0,0,2.023368,6.046735,0.9730501,-0.917765,0.8681364,-0.9093226
2.05,0.06833333,-0.001461624,-0.00164101,6.106593,6.093055,2.53979,0.09595833,50.06021,0.001098424,0,0,2.023368,6.046735,0.9730501,-0.917765,0.8681364,-0.9093226
2.1,0.07,-0.001253023,-0.001614548,6.106595,6.094845,2.539961,0.09774796,50.06036,0.001088698,0,0,2.023368,6.046735,0.9730502,-0.9177651,0.8681365,-0.9093226
2.15,0.07166667,-0.0002413002,0.0005910677,6.106597,6.096634,2.540131,0.09953758,50.0605,0.001088226,0,0,2.023368,6.046735,0.9730502,-0.9177651,0.8681365,-0.9093226
2.2,0.07333333,0.0007542919,0.000304304,6.106599,6.098423,2.540302,0.1013272,50.06065,0.001089024,0,0,2.023368,6.046735,0.9730502,-0.9177651,0.8681365,-0.9093226
2.25,0.075,-0.0005910227,-0.0007645332,6.106602,6.100212,2.540473,0.1031168,50.06079,0.001084703,0,0,2.023368,6.046735,0.9730502,-0.9177651,0.8681365,-0.9093226
2.3,0.07666667,0.0001216355,0.001518888,6.106604,6.102002,2.540644,0.1049065,50.06094,0.001084285,0,0,2.023368,6.046735,0.9730502,-0.9177651,0.8681365,-0.9093226
